Emisii_Totale_tone_CO2,Intrebarea_0,Intrebarea_1,Intrebarea_2,Intrebarea_3,Intrebarea_4,Intrebarea_5,Intrebarea_6,Intrebarea_7,Intrebarea_8,Intrebarea_9,Intrebarea_10,Intrebarea_11,Intrebarea_12,Intrebarea_13,Intrebarea_14,Intrebarea_15,Intrebarea_16,Intrebarea_17,Intrebarea_18,Intrebarea_19,Intrebarea_20,Intrebarea_21,Intrebarea_22,Intrebarea_23,Intrebarea_24,Intrebarea_25,Intrebarea_26,Intrebarea_27,Intrebarea_28
4.2,5,Individual (gas) boiler,1000,100,,,,,0,400,1000,500,No,,,,4,Daily,5,Yes,1,Very Often,4,1,Sometimes,5,Quarterly,3,Yes
8.9,1,District (central) heating,,,55,2,5,,0,200,1500,750,Yes,Combustibil fosil,10000,5,5,Sometimes,2,Yes,1,Sometimes,3,2,Rareori,4,Quarterly,3,No
4.1,2,District (central) heating,,,20,20,8,,15,800,1200,1000,No,,,,0,Often,5,Yes,5,Often,0,0,Rareori,3,Quarterly,1,Yes
2.4,4,Individual (gas) boiler,200,40,,,,,0,35,80,60,Yes,Hibrid,10000,2,7,Never,2,No,,Rar,4,0,Daily,5,Monthly,1,Yes
8.4,2,Centralizat,,,44,14,5,,0,40,40,40,Nu,,,,40,Zilnic,7,Da,1,Foarte des,6,6,Niciodată,30,Anual,1,Da
5.9,2,Centrală proprie,300,25,,,,,0,310,400,310,Da,Combustibil fosil,10000,2,0,Frecvent,2,Da,2,Des,19,1,Uneori,1,Trimestrial,3,Nu
5,3,District (central) heating,,,100,10,7,,50,350,200,150,Yes,Combustibil fosil,20000,2,0,Daily,7,Yes,1,Often,7,0,Daily,25,Quarterly,2,No
6.9,3,Centrală proprie,50,50,,,,,0,100,50,50,Da,Combustibil fosil,20000,3,0,Zilnic,1,Da,1,Des,3,16,Rareori,3,Trimestrial,0,Da
10.7,2,Centrala proprie,420,100,,,,,0,1000,1500,1000,Da,Combustibil fosil,40000,2,0,Niciodată,3,Da,1,Des,7,0,Frecvent,30,Trimestrial,3,Nu
7.6,2,District (central) heating,,,30,10,20,,0,120,300,200,No,,,,26,Daily,2,Yes,3,Rar,2,10,Rareori,18,Quarterly,2,No
3.5,1,Centralizat,,,70,1,5,,50,50,50,50,Nu,,,,4,Zilnic,1,Da,1,Des,5,0,Rareori,3,Anual,0,Da
2.7,3,Centralizat,,,80,5,20,,80,100,100,100,Da,Combustibil fosil,10000,2,0,Zilnic,3,Nu,,Des,5,1,Uneori,3,Anual,0,Da
5.8,4,Centrală proprie,10,15,,,,,70,67,100,78,Da,Combustibil fosil,15000,2,10,Zilnic,6,Nu,,Foarte des,11,6,Uneori,7,Trimestrial,2,Da
5.4,1,Centralizat,,,45,4,3,,0,80,100,70,Nu,,,,6,Zilnic,6,Da,2,Uneori,6,0,Uneori,1,Trimestrial,1,Nu
5,3,Centralizat,,,83,20,50,,0,180,120,120,Da,Combustibil fosil,10000,3,10,Niciodată,11,Da,1,Foarte des,4,0,Frecvent,7,Săptămânal,2,Nu
6.3,2,Centrală proprie,150,30,,,,,0,160,180,140,Da,Combustibil fosil,25000,1,0,Zilnic,3,Da,1,Des,7,1,Uneori,7,Trimestrial,1,Nu
6.5,2,Centralizat,,,50,32,1,,0,500,700,500,Nu,,,,30,Zilnic,2,Da,1,Des,5,1,Rareori,6,Trimestrial,3,Nu
6.8,3,District (central) heating,,,70,20,5,,4,1000,2500,1500,No,,,,6,Daily,7,Yes,2,Often,7,2,Never,6,Quarterly,3,No
1.2,5,Individual (gas) boiler,150,10,,,,,0,100,350,200,No,,,,2,Daily,3,Yes,1,Very Often,1,0,Rareori,1,Annual,2,No
5.6,4,District (central) heating,,,120,9,4,,0,350,1200,600,No,,,,15,Daily,2,No,,Very Often,7,0,Rareori,14,Monthly,10,No
5.2,3,District (central) heating,,,74,5,1,,0,300,200,200,Yes,Combustibil fosil,10000,2,0,Often,1,Yes,1,Often,13,3,Sometimes,11,Monthly,4,No
3,5,Individual (gas) boiler,400,40,,,,,0,450,500,350,No,,,,4,Daily,4,Yes,3,Very Often,4,1,Sometimes,3,Quarterly,3,No
13.7,3,Centralizat,,,67,20,5,,0,100,100,75,Da,Combustibil fosil,100000,4,120,Uneori,5,Da,5,Des,6,1,Uneori,4,Trimestrial,0,Nu
3.5,3,Centrală proprie,350,25,,,,,70,350,350,350,Da,Electric,20000,2,0,Niciodată,4,Da,1,Foarte des,4,3,Uneori,3,Lunar,0,Da
